,Weeks on Chart,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Debut Position,LyricPositive,LyricNeutral,LyricNegative,TweetPositive,TweetNeutral,TweetNegative,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 0,Classification
46,41,FALSE,233720,83,0.607,0.376,4,-9.954,1,0.453,0.856,0,0.285,0.545,102.541,4,4,18,76,6,5,93,0,0.162286177,0,0,0,0,0.198831558,0,0,0.624292135,0,0
47,41,TRUE,233901,83,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4,74,9,80,10,0,100,0,0.152499422,0,0,0,0,0,0,0,0.837737441,0,1
48,41,FALSE,165386,79,0.731,0.469,5,-7.226,1,0.0326,0.463,1.04E-06,0.103,0.631,98.963,4,38,22,77,0,20,79,0,0.938578427,0,0,0,0,0,0,0.051289763,0,0,2
49,41,FALSE,213520,81,0.705,0.769,9,-5.526,0,0.0426,0.112,0,0.105,0.59,107.939,4,24,43,47,9,2,96,0,0,0,0,0,0,0.250902206,0,0.721498847,0,0,0
50,41,FALSE,197436,84,0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,4,96,40,59,0,27,70,2,0.963984907,0,0,0,0,0,0,0,0,0,3
51,40,TRUE,247866,72,0.72,0.748,10,-5.522,0,0.393,0.0235,0,0.369,0.246,145.22,4,96,0,86,13,10,86,3,0,0.962591052,0,0,0,0,0,0,0.033173218,0,0
52,40,FALSE,213386,80,0.616,0.438,1,-5.968,1,0.0298,0.356,0,0.24,0.386,135.929,4,95,3,96,0,10,87,1,0,0,0,0,0,0,0,0,0.983010769,0,3
53,40,TRUE,196693,76,0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.625,0.603,190.05,4,34,8,86,4,0,100,0,0.18618305,0.153089717,0,0.581719041,0,0,0,0,0.07233686,0,1
54,40,FALSE,184732,85,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,4,23,0,94,6,10,89,0,0,0,0.937701106,0,0,0,0.048959129,0,0,0,1
55,39,TRUE,213400,81,0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,4,18,32,65,1,66,33,0,0.328390718,0.12370652,0,0,0,0.301270008,0,0.235407293,0,0,2
56,39,FALSE,247160,84,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,4,56,4,95,0,23,76,0,0,0,0.481938601,0,0,0.259185582,0,0,0.237651095,0,1
57,39,FALSE,225053,80,0.63,0.53,0,-7.259,1,0.0434,0.4,0,0.177,0.417,108.038,3,95,26,68,5,0,100,0,0,0,0.438492298,0.168605834,0,0,0.18806304,0,0.187686682,0,2
58,39,FALSE,214506,83,0.645,0.713,6,-5.355,1,0.0393,0.00835,0,0.113,0.566,74.989,4,96,4,92,3,4,94,1,0,0.04638562,0,0,0.77622968,0,0,0,0.169602856,0,1
59,39,TRUE,251033,82,0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,4,93,6,85,8,0,100,0,0,0.054506704,0,0,0.194699779,0.128007874,0.615088999,0,0,0,2
60,39,FALSE,187973,85,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,4,34,15,77,6,1,97,0,0,0,0,0,0.974989951,0,0,0,0,0,2
61,39,FALSE,195920,82,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58E-05,0.105,0.548,90.024,4,14,7,80,11,3,81,14,0.18238546,0.806799233,0,0,0,0,0,0,0,0,1
